issn,journal_name,publisher,field
0028-646X,New Phytologist,Wiley,general_plant
1040-4651,The Plant Cell,Oxford,general_plant
0032-0889,Plant Physiology,Oxford,general_plant
0960-7412,The Plant Journal,Wiley,general_plant
1674-2052,Molecular Plant,Cell Press,molecular
2041-1723,Nature Communications,Springer Nature,multidisciplinary
1477-9129,Development,Company of Biologists,development
1532-298X,Plant Cell & Environment,Wiley,physiology
0166-8595,Photosynthesis Research,Springer,photosynthesis
0981-9428,Plant Physiology and Biochemistry,Elsevier,biochemistry
0140-7791,Plant Cell and Environment,Wiley,environment
1752-9867,Molecular Plant-Microbe Interactions,APS,pathology
0031-9317,Physiologia Plantarum,Wiley,physiology
0721-7714,Plant Cell Reports,Springer,cell_biology
0167-4412,Plant Molecular Biology,Springer,molecular
0176-1617,Journal of Plant Physiology,Elsevier,physiology
1464-6722,Molecular Plant Pathology,Wiley,pathology
0929-1873,Plant Biotechnology Journal,Wiley,biotech
0190-4167,Journal of Plant Nutrition,Taylor Francis,nutrition
0735-9640,Plant Disease,APS,pathology
0032-079X,Plant and Soil,Springer,soil
0378-2697,Plant Systematics and Evolution,Springer,taxonomy
1063-5823,Current Opinion in Plant Biology,Elsevier,reviews
2662-6608,Nature Plants,Springer Nature,general_plant
1360-1385,Trends in Plant Science,Cell Press,reviews
0962-1083,Molecular Ecology,Wiley,ecology
0305-7364,Annals of Botany,Oxford,general_plant
0014-4827,Experimental Cell Research,Elsevier,cell_biology
0002-9122,American Journal of Botany,BSA,general_plant
0040-5752,Theoretical and Applied Genetics,Springer,genetics
1744-7909,Journal of Integrative Plant Biology,Wiley,general_plant
0018-067X,Heredity,Springer Nature,genetics
1466-1268,Cell Stress and Chaperones,Springer,stress
0378-4290,Field Crops Research,Elsevier,agronomy
0261-4189,EMBO Journal,EMBO Press,molecular
1095-9203,Science,AAAS,multidisciplinary
0028-0836,Nature,Springer Nature,multidisciplinary
0092-8674,Cell,Cell Press,multidisciplinary
0027-8424,PNAS,NAS,multidisciplinary
2050-084X,eLife,eLife Sciences,multidisciplinary
2045-2322,Scientific Reports,Springer Nature,multidisciplinary
1932-6203,PLOS ONE,PLOS,multidisciplinary
1471-2229,BMC Plant Biology,Springer,general_plant
2223-7747,Plants,MDPI,general_plant
2073-4395,Agronomy,MDPI,agronomy
1664-462X,Frontiers in Plant Science,Frontiers,general_plant
2160-1836,G3: Genes Genomes Genetics,GSA,genetics
1939-8638,The Plant Genome,Wiley,genomics
1674-2927,Plant Diversity,Elsevier,taxonomy
0176-1617,Journal of Plant Research,Springer,general_plant
