organism,window_start,window_end,drift_from_previous,distance_to_arabidopsis
arabidopsis,1990,1994,,
arabidopsis,1995,1999,0.0023033618927001953,
arabidopsis,2000,2004,0.0027871131896972656,
arabidopsis,2005,2009,0.002818286418914795,
arabidopsis,2010,2014,0.002051711082458496,
arabidopsis,2015,2019,0.0015186071395874023,
arabidopsis,2020,2024,0.0009480118751525879,
barley,1990,1994,,0.037996530532836914
barley,1995,1999,0.0008566379547119141,0.0363079309463501
barley,2000,2004,0.0030329227447509766,0.036773681640625
barley,2005,2009,0.0025413036346435547,0.03454560041427612
barley,2010,2014,0.0032225847244262695,0.03678023815155029
barley,2015,2019,0.0015484094619750977,0.0336117148399353
barley,2020,2024,0.0008912086486816406,0.03549087047576904
cotton,1990,1994,,0.05377054214477539
cotton,1995,1999,0.0016355514526367188,0.051851511001586914
cotton,2000,2004,0.004929006099700928,0.053424835205078125
cotton,2005,2009,0.0016080141067504883,0.04960739612579346
cotton,2010,2014,0.0011090636253356934,0.046914100646972656
cotton,2015,2019,0.0022516250610351562,0.04074817895889282
cotton,2020,2024,0.0010723471641540527,0.03779119253158569
maize,1990,1994,,0.043559908866882324
maize,1995,1999,0.001141667366027832,0.04258149862289429
maize,2000,2004,0.003782808780670166,0.046662092208862305
maize,2005,2009,0.0018527507781982422,0.04663503170013428
maize,2010,2014,0.0016924738883972168,0.04805630445480347
maize,2015,2019,0.0012673139572143555,0.04746663570404053
maize,2020,2024,0.0009064674377441406,0.046574532985687256
non_specific,1990,1994,,0.045559465885162354
non_specific,1995,1999,0.001592099666595459,0.04757487773895264
non_specific,2000,2004,0.0017180442810058594,0.04942506551742554
non_specific,2005,2009,0.0014935731887817383,0.04847782850265503
non_specific,2010,2014,0.0009199976921081543,0.04762458801269531
non_specific,2015,2019,0.0010707378387451172,0.04856908321380615
non_specific,2020,2024,0.0010069012641906738,0.047396063804626465
other_crop,1990,1994,,0.03894692659378052
other_crop,1995,1999,0.0005869269371032715,0.03739631175994873
other_crop,2000,2004,0.0024344921112060547,0.04062342643737793
other_crop,2005,2009,0.0017120838165283203,0.040895283222198486
other_crop,2010,2014,0.0014476776123046875,0.040735065937042236
other_crop,2015,2019,0.0011466145515441895,0.04037719964981079
other_crop,2020,2024,0.0006927847862243652,0.03981781005859375
other_model_organism,1990,1994,,0.03502678871154785
other_model_organism,1995,1999,0.0015491247177124023,0.03274416923522949
other_model_organism,2000,2004,0.0024033188819885254,0.032631516456604004
other_model_organism,2005,2009,0.0018524527549743652,0.02936410903930664
other_model_organism,2010,2014,0.0012612342834472656,0.027015209197998047
other_model_organism,2015,2019,0.0012531280517578125,0.022879958152770996
other_model_organism,2020,2024,0.0008164048194885254,0.021382272243499756
potato,1990,1994,,0.03815639019012451
potato,1995,1999,0.0008500218391418457,0.036785781383514404
potato,2000,2004,0.002785325050354004,0.03794294595718384
potato,2005,2009,0.0025670528411865234,0.040801167488098145
potato,2010,2014,0.0021933317184448242,0.04203450679779053
potato,2015,2019,0.0014585256576538086,0.03972196578979492
potato,2020,2024,0.000996708869934082,0.03920203447341919
rice,1990,1994,,0.0484432578086853
rice,1995,1999,0.001528024673461914,0.04074907302856445
rice,2000,2004,0.003862321376800537,0.04308736324310303
rice,2005,2009,0.0011295080184936523,0.03960448503494263
rice,2010,2014,0.0012478828430175781,0.03916281461715698
rice,2015,2019,0.0021741390228271484,0.036676883697509766
rice,2020,2024,0.0007922649383544922,0.03647869825363159
soybean,1990,1994,,0.03514283895492554
soybean,1995,1999,0.00170820951461792,0.03584784269332886
soybean,2000,2004,0.004278898239135742,0.040961384773254395
soybean,2005,2009,0.0024632811546325684,0.039906978607177734
soybean,2010,2014,0.0011622905731201172,0.0373530387878418
soybean,2015,2019,0.0017026662826538086,0.03570401668548584
soybean,2020,2024,0.0006938576698303223,0.035880208015441895
tobacco,1990,1994,,0.01967531442642212
tobacco,1995,1999,0.0012218952178955078,0.019683480262756348
tobacco,2000,2004,0.0062947869300842285,0.0186692476272583
tobacco,2005,2009,0.004394888877868652,0.02411729097366333
tobacco,2010,2014,0.0024142861366271973,0.02778548002243042
tobacco,2015,2019,0.0036253929138183594,0.0174940824508667
tobacco,2020,2024,0.001481175422668457,0.016462206840515137
tomato,1990,1994,,0.02687656879425049
tomato,1995,1999,0.0007978677749633789,0.026781141757965088
tomato,2000,2004,0.002826869487762451,0.030944466590881348
tomato,2005,2009,0.0025696754455566406,0.033589065074920654
tomato,2010,2014,0.001953423023223877,0.032909393310546875
tomato,2015,2019,0.0014218688011169434,0.032014310359954834
tomato,2020,2024,0.0013729333877563477,0.03153383731842041
wheat,1990,1994,,0.040465474128723145
wheat,1995,1999,0.0009282827377319336,0.04073941707611084
wheat,2000,2004,0.004505276679992676,0.043628573417663574
wheat,2005,2009,0.0013671517372131348,0.0420299768447876
wheat,2010,2014,0.0015627145767211914,0.042713284492492676
wheat,2015,2019,0.001505732536315918,0.038924217224121094
wheat,2020,2024,0.0007876157760620117,0.03939235210418701
