organism_a,organism_b,cohens_d,abs_d,magnitude,n_a,n_b
arabidopsis,cotton,-2.523,2.523,large,6286,207
arabidopsis,soybean,-1.87,1.87,large,6286,556
arabidopsis,barley,-1.8638,1.8638,large,6286,304
arabidopsis,potato,-1.6517,1.6517,large,6286,270
arabidopsis,maize,-1.5208,1.5208,large,6286,1192
arabidopsis,wheat,-1.3778,1.3778,large,6286,1442
arabidopsis,other_crop,-1.3777,1.3777,large,6286,2166
arabidopsis,non_specific,-1.0564,1.0564,large,6286,14764
arabidopsis,tomato,-0.9663,0.9663,large,6286,866
arabidopsis,rice,-0.9293,0.9293,large,6286,1603
arabidopsis,tobacco,-0.917,0.917,large,6286,407
cotton,other_model_organism,0.8801,0.8801,large,207,399
non_specific,other_model_organism,0.8104,0.8104,large,14764,399
cotton,tomato,0.7103,0.7103,large,207,866
other_crop,other_model_organism,0.7058,0.7058,large,2166,399
other_model_organism,soybean,-0.694,0.694,large,399,556
maize,other_model_organism,0.6662,0.6662,large,1192,399
barley,other_model_organism,0.6495,0.6495,large,304,399
non_specific,tobacco,0.6452,0.6452,large,14764,407
other_model_organism,wheat,-0.6284,0.6284,large,399,1442
non_specific,tomato,0.6217,0.6217,large,14764,866
cotton,tobacco,0.6203,0.6203,large,207,407
other_model_organism,potato,-0.6186,0.6186,large,399,270
soybean,tomato,0.5815,0.5815,large,556,866
other_crop,tomato,0.5353,0.5353,large,2166,866
other_crop,tobacco,0.5329,0.5329,large,2166,407
soybean,tobacco,0.5249,0.5249,large,556,407
maize,tomato,0.5208,0.5208,large,1192,866
non_specific,rice,0.5026,0.5026,large,14764,1603
maize,tobacco,0.4998,0.4998,medium,1192,407
cotton,rice,0.4802,0.4802,medium,207,1603
tomato,wheat,-0.4587,0.4587,medium,866,1442
barley,tomato,0.4571,0.4571,medium,304,866
tobacco,wheat,-0.4519,0.4519,medium,407,1442
rice,soybean,-0.4492,0.4492,medium,1603,556
non_specific,potato,0.4283,0.4283,medium,14764,270
barley,tobacco,0.4188,0.4188,medium,304,407
other_crop,rice,0.4043,0.4043,medium,2166,1603
other_model_organism,rice,-0.3991,0.3991,medium,399,1603
maize,rice,0.3945,0.3945,medium,1192,1603
arabidopsis,other_model_organism,-0.3772,0.3772,medium,6286,399
other_model_organism,tomato,-0.3689,0.3689,medium,399,866
cotton,potato,0.3424,0.3424,medium,207,270
rice,wheat,-0.3227,0.3227,medium,1603,1442
other_crop,potato,0.3128,0.3128,medium,2166,270
potato,soybean,-0.3116,0.3116,medium,270,556
other_model_organism,tobacco,-0.2983,0.2983,medium,399,407
potato,tobacco,0.2958,0.2958,medium,270,407
maize,potato,0.289,0.289,medium,1192,270
potato,tomato,0.2882,0.2882,medium,270,866
barley,rice,0.2683,0.2683,medium,304,1603
barley,non_specific,-0.2519,0.2519,medium,304,14764
potato,wheat,-0.231,0.231,medium,270,1442
non_specific,wheat,0.1826,0.1826,small,14764,1442
rice,tobacco,0.1814,0.1814,small,1603,407
barley,potato,0.1678,0.1678,small,304,270
barley,soybean,-0.1587,0.1587,small,304,556
barley,cotton,-0.1534,0.1534,small,304,207
rice,tomato,0.1529,0.1529,small,1603,866
barley,other_crop,-0.1401,0.1401,small,304,2166
barley,maize,-0.1289,0.1289,small,304,1192
soybean,wheat,0.12,0.12,small,556,1442
cotton,wheat,0.1098,0.1098,small,207,1442
non_specific,other_crop,0.1005,0.1005,small,14764,2166
maize,non_specific,-0.0972,0.0972,small,1192,14764
potato,rice,0.0818,0.0818,small,270,1603
other_crop,wheat,0.077,0.077,small,2166,1442
maize,wheat,0.0749,0.0749,small,1192,1442
barley,wheat,-0.0621,0.0621,small,304,1442
cotton,non_specific,-0.0606,0.0606,small,207,14764
other_crop,soybean,-0.0517,0.0517,small,2166,556
tobacco,tomato,-0.0511,0.0511,small,407,866
maize,soybean,-0.0447,0.0447,small,1192,556
non_specific,soybean,0.0417,0.0417,small,14764,556
cotton,other_crop,0.0371,0.0371,small,207,2166
cotton,maize,0.0311,0.0311,small,207,1192
cotton,soybean,-0.0135,0.0135,small,207,556
maize,other_crop,0.0023,0.0023,small,1192,2166
