truncation_year,K_fit,t0_fit,r_fit,aic_logistic,aic_exponential,delta_aic,preferred_model
2015,535825.3,2025.0,0.075,467.19,466.48,-0.71,ambiguous
2016,333289.5,2015.168,0.08505,489.85,492.86,3.02,logistic
2017,262679.9,2010.177,0.09468,511.67,519.31,7.64,logistic
2018,280136.5,2011.536,0.09145,529.31,537.07,7.75,logistic
2019,314230.2,2014.043,0.08627,547.89,554.49,6.6,logistic
2020,314856.6,2014.088,0.08619,564.94,573.66,8.72,logistic
2021,275751.9,2011.121,0.09297,585.55,600.26,14.71,logistic
2022,245496.7,2008.579,0.10109,608.85,629.66,20.81,logistic
2023,232482.4,2007.415,0.10596,628.69,654.99,26.3,logistic
2024,217780.5,2006.053,0.11307,652.24,683.39,31.15,logistic
