method,organism,first_adoption_year,lag_vs_arabidopsis_years,current_penetration_pct
CRISPR,arabidopsis,2013,0,3.039073806078148
CRISPR,barley,2012,-1,0.245398773006135
CRISPR,cotton,2016,3,1.9409937888198756
CRISPR,maize,2000,-13,0.5417795374036257
CRISPR,non_specific,1990,-23,0.3281236508073569
CRISPR,other_crop,2010,-3,0.3267237494366832
CRISPR,other_model_organism,2015,2,2.0105820105820107
CRISPR,potato,2012,-1,0.5357142857142857
CRISPR,rice,1993,-20,1.7127161092260461
CRISPR,soybean,2015,2,1.1910013233348038
CRISPR,tobacco,2015,2,1.1523687580025608
CRISPR,tomato,1991,-22,1.6072676450034942
CRISPR,wheat,2016,3,0.3891807744697412
pangenomics,arabidopsis,2008,0,0.21707670043415342
pangenomics,barley,2020,12,0.7361963190184049
pangenomics,cotton,2020,12,0.15527950310559005
pangenomics,maize,2015,7,0.10418837257762034
pangenomics,non_specific,2006,-2,0.05427609261475076
pangenomics,other_crop,2011,3,0.1013970256872465
pangenomics,other_model_organism,2015,7,0.21164021164021166
pangenomics,potato,2008,0,
pangenomics,rice,2018,10,0.1454192922927775
pangenomics,soybean,2012,4,0.13233348037053375
pangenomics,tobacco,2024,16,0.12804097311139565
pangenomics,tomato,2010,2,0.034940600978336823
pangenomics,wheat,2015,7,0.2529675034053318
single-cell,arabidopsis,1993,0,1.2662807525325614
single-cell,barley,1996,3,
single-cell,cotton,1995,2,0.5434782608695652
single-cell,maize,1990,-3,0.0625130235465722
single-cell,non_specific,1990,-3,0.13692377909630307
single-cell,other_crop,1992,-1,0.03943217665615142
single-cell,other_model_organism,1991,-2,0.5291005291005291
single-cell,potato,1991,-2,0.17857142857142858
single-cell,rice,2000,7,0.09694619486185167
single-cell,soybean,1991,-2,0.30877812086457873
single-cell,tobacco,1991,-2,0.2560819462227913
single-cell,tomato,1990,-3,0.06988120195667365
single-cell,wheat,1992,-1,0.01945903872348706
