citing_organism,cited_organism,n_citations,share
arabidopsis,arabidopsis,610413,0.6163434567407596
arabidopsis,non_specific,212966,0.21503506741870276
arabidopsis,rice,31235,0.03153846309186997
arabidopsis,other_crop,25892,0.026143553269559704
arabidopsis,tomato,21315,0.02152208550674591
arabidopsis,maize,16411,0.016570440781196676
arabidopsis,tobacco,16287,0.016445236061382623
arabidopsis,wheat,14753,0.01489633251142493
arabidopsis,other_model_organism,11355,0.01146531930232699
arabidopsis,soybean,11074,0.011181589251780633
arabidopsis,barley,7457,0.007529448352043361
arabidopsis,potato,6232,0.006292546886138424
arabidopsis,cotton,4988,0.00503646082606843
barley,barley,38092,0.2946974268517229
barley,non_specific,36469,0.28214114406845225
barley,wheat,18209,0.14087329217533925
barley,arabidopsis,11863,0.09177768494019713
barley,maize,6968,0.05390768849897105
barley,rice,5876,0.04545946865958007
barley,other_crop,5308,0.04106515650868805
barley,soybean,1823,0.014103575794148138
barley,tomato,1555,0.012030203159572329
barley,tobacco,1125,0.008703523186185768
barley,potato,957,0.007403797057048693
barley,other_model_organism,519,0.004015225363227034
barley,cotton,494,0.0038218137368673504
cotton,cotton,56083,0.44319322285705254
cotton,non_specific,28768,0.22733774290162237
cotton,arabidopsis,14752,0.116576973834981
cotton,other_crop,6073,0.04799159179093273
cotton,wheat,4327,0.03419391037038793
cotton,maize,4177,0.0330085425507535
cotton,rice,3808,0.030092537714452795
cotton,soybean,2828,0.022348134626174503
cotton,tomato,2665,0.021060034928838418
cotton,tobacco,970,0.0076653785669693305
cotton,barley,799,0.006314059252586077
cotton,potato,705,0.005571228752281833
cotton,other_model_organism,588,0.004646641852966976
maize,maize,185635,0.3850342026773084
maize,non_specific,159175,0.33015228384281287
maize,other_crop,29004,0.060158547765521875
maize,wheat,27549,0.05714066447360234
maize,arabidopsis,26847,0.05568461356574837
maize,rice,18636,0.03865379589567872
maize,soybean,13183,0.0273434745274057
maize,barley,6910,0.014332352953377333
maize,tomato,5566,0.01154469993321248
maize,cotton,3238,0.006716086666141216
maize,tobacco,2414,0.005006989874016336
maize,potato,2206,0.004575567382800347
maize,other_model_organism,1763,0.003656720442373985
non_specific,non_specific,3370927,0.6721883284760976
non_specific,arabidopsis,442015,0.08814113269476385
non_specific,other_crop,377569,0.07529011307405697
non_specific,maize,169630,0.033825504426349316
non_specific,wheat,143857,0.028686173378891313
non_specific,rice,121412,0.02421047069157533
non_specific,tomato,105091,0.020955939902549525
non_specific,soybean,79511,0.015855094514198316
non_specific,other_model_organism,54320,0.010831818666741112
non_specific,barley,44246,0.008822986905902563
non_specific,tobacco,42154,0.008405826290092136
non_specific,potato,39885,0.007953370536137136
non_specific,cotton,24238,0.004833240442644902
other_crop,other_crop,597395,0.44087118173505735
other_crop,non_specific,433205,0.3197007010161376
other_crop,arabidopsis,87095,0.06427518739396015
other_crop,maize,43881,0.03238371316418124
other_crop,wheat,39605,0.029228070460276614
other_crop,tomato,38727,0.028580115761018366
other_crop,rice,35544,0.026231095478855496
other_crop,soybean,28562,0.021078453439879324
other_crop,tobacco,13693,0.01010528894868243
other_crop,potato,12098,0.008928195844676846
other_crop,barley,10068,0.007430077348669737
other_crop,other_model_organism,7800,0.005756317373820416
other_crop,cotton,7360,0.005431602034784393
other_model_organism,non_specific,57206,0.37551529473546014
other_model_organism,other_model_organism,36017,0.23642510174609427
other_model_organism,arabidopsis,32313,0.21211106734935015
other_model_organism,other_crop,6109,0.040101089667848235
other_model_organism,rice,4405,0.02891558356308258
other_model_organism,soybean,3902,0.025613758697649994
other_model_organism,maize,2906,0.019075751608244717
other_model_organism,wheat,2849,0.018701588551923328
other_model_organism,tobacco,2153,0.014132860706314821
other_model_organism,tomato,2140,0.014047525272416962
other_model_organism,barley,1048,0.006879348824996718
other_model_organism,potato,709,0.004654063279506368
other_model_organism,cotton,583,0.003826965997111724
potato,potato,47773,0.3461811594202899
potato,non_specific,41223,0.2987173913043478
potato,arabidopsis,11520,0.08347826086956522
potato,tomato,10532,0.07631884057971014
potato,other_crop,9641,0.06986231884057971
potato,tobacco,3855,0.02793478260869565
potato,wheat,3441,0.024934782608695652
potato,rice,2927,0.021210144927536232
potato,maize,2596,0.01881159420289855
potato,soybean,1910,0.013840579710144928
potato,barley,1426,0.010333333333333333
potato,cotton,631,0.004572463768115942
potato,other_model_organism,525,0.0038043478260869567
rice,rice,234140,0.4349934325540955
rice,non_specific,126269,0.23458693830688085
rice,arabidopsis,69252,0.12865877334601616
rice,wheat,27725,0.051508468939789435
rice,other_crop,24588,0.04568044127291407
rice,maize,21725,0.04036146033244095
rice,soybean,7900,0.014676894666342165
rice,tomato,7555,0.014035941671419628
rice,barley,6521,0.012114940521419907
rice,tobacco,4074,0.007568818844389618
rice,other_model_organism,3049,0.005664538207300919
rice,potato,3004,0.005580935642745806
rice,cotton,2459,0.0045684156942449854
soybean,soybean,122307,0.4208847364889279
soybean,non_specific,78744,0.2709750683941568
soybean,arabidopsis,22595,0.07775426280562295
soybean,other_crop,18725,0.06443675906330115
soybean,maize,14786,0.05088181145580619
soybean,wheat,8960,0.030833290318140368
soybean,rice,7585,0.026101619091863246
soybean,tomato,4207,0.014477193344689344
soybean,other_model_organism,4004,0.013778626610918977
soybean,barley,2328,0.008011149538016828
soybean,tobacco,2312,0.007956090091020149
soybean,cotton,2167,0.007457113852612743
soybean,potato,1875,0.006452278944923347
tobacco,non_specific,32684,0.3158210051309801
tobacco,arabidopsis,20722,0.20023384127781696
tobacco,tobacco,18009,0.17401849471924552
tobacco,other_crop,8858,0.08559363797118534
tobacco,tomato,6975,0.06739846746997265
tobacco,potato,3624,0.03501821449622665
tobacco,rice,2989,0.02888229666921122
tobacco,wheat,2201,0.02126796084608026
tobacco,maize,2058,0.019886171477161825
tobacco,soybean,2013,0.019451342654774904
tobacco,other_model_organism,1423,0.013750253650146392
tobacco,barley,1242,0.012001275497879002
tobacco,cotton,691,0.006677038139319155
tomato,tomato,111987,0.33802804147361115
tomato,non_specific,98720,0.29798216091398905
tomato,arabidopsis,44010,0.13284233085316713
tomato,other_crop,29895,0.09023679801989164
tomato,potato,8513,0.025696131846239756
tomato,rice,7756,0.023411159238744924
tomato,tobacco,7189,0.02169969362652621
tomato,maize,6636,0.02003048642448573
tomato,wheat,6524,0.01969241914305981
tomato,soybean,4153,0.01253565553358789
tomato,barley,2179,0.006577219698456059
tomato,cotton,1889,0.0057018669161925176
tomato,other_model_organism,1844,0.0055660363120481745
wheat,wheat,315133,0.50218557726171
wheat,non_specific,148030,0.23589573609254164
wheat,arabidopsis,35654,0.056817040969016276
wheat,rice,29873,0.04760462963110516
wheat,maize,29280,0.04665964434769722
wheat,other_crop,25126,0.04003996666257651
wheat,barley,17846,0.028438798259187312
wheat,soybean,8698,0.013860846534708688
wheat,tomato,6258,0.009972542839067254
wheat,tobacco,3330,0.005306578404297531
wheat,cotton,3133,0.004992645687887137
wheat,potato,2949,0.004699429343625652
wheat,other_model_organism,2213,0.003526563966579711
