organism,decade,mean_cd,median_cd,n_papers
arabidopsis,1970s,-0.0149310872894333,-0.0149310872894333,1
arabidopsis,1980s,0.057996712900012244,0.006964338634792,9
arabidopsis,1990s,0.08631861114029253,-0.0071942446043165,589
arabidopsis,2000s,-0.009745079742992631,-0.0088500883271426,3322
arabidopsis,2010s,-0.011754438444719784,-0.0089213300892133,2365
barley,1920s,-0.0253521126760563,-0.0253521126760563,1
barley,1950s,1.0,1.0,1
barley,1960s,0.7977282656181739,1.0,3
barley,1970s,0.30398879442951887,0.0041806020066889,17
barley,1980s,0.2594402905613956,3.740946908481475e-05,23
barley,1990s,0.2224302190342518,-0.00011326175410638825,42
barley,2000s,-0.003974510143611337,-0.0072394741855591,139
barley,2010s,-0.0019611323645455183,-0.0059240977433712,78
cotton,1950s,1.0,1.0,2
cotton,1960s,0.4878037540195406,0.4739352672364057,4
cotton,1970s,0.08817532849460873,0.06517280986848109,6
cotton,1980s,0.14740816321407016,0.04024600867048115,10
cotton,1990s,0.3274269295516996,-0.000255167134473,37
cotton,2000s,0.0436138484363987,-0.0061851098310989495,76
cotton,2010s,-0.011473623381567998,-0.00796494146790425,72
maize,1900s,1.0,1.0,1
maize,1920s,0.0962488422352578,0.0962488422352578,2
maize,1930s,1.0,1.0,1
maize,1940s,1.0,1.0,1
maize,1950s,0.8213692537696332,0.8833299053887289,4
maize,1960s,0.47110053333892954,0.3451327433628318,21
maize,1970s,0.40082112445166296,0.18314031522030905,30
maize,1980s,0.308901493703893,0.0098522167487684,67
maize,1990s,0.2505520624388326,-3.260754375524778e-05,219
maize,2000s,0.02056648634772743,-0.0035665032164002002,462
maize,2010s,-0.0013784201993482352,-0.00532162755339975,384
non_specific,1900s,1.0,1.0,2
non_specific,1910s,0.8622047244094487,1.0,6
non_specific,1920s,0.8457769317540892,1.0,9
non_specific,1930s,0.8273777627751115,1.0,27
non_specific,1940s,0.6893164662649446,0.9622641509433962,25
non_specific,1950s,0.5316550085603067,0.5209764477370111,70
non_specific,1960s,0.4478363439292229,0.2631578947368421,195
non_specific,1970s,0.4013508040742811,0.1031175059952038,425
non_specific,1980s,0.2827033551060978,0.0074626865671641,919
non_specific,1990s,0.23108449504306175,-0.00022976321099650002,2138
non_specific,2000s,0.06406066988614192,-0.003574711469717,5419
non_specific,2010s,0.0225049883133343,-0.0055205047318611,5529
other_crop,1920s,0.0262008733624454,0.0262008733624454,1
other_crop,1940s,1.0,1.0,2
other_crop,1950s,0.5116438356164383,0.5116438356164383,2
other_crop,1960s,0.23151609558299327,0.0936454849498327,7
other_crop,1970s,0.45541333193951,0.1846057571964956,41
other_crop,1980s,0.3648736429564135,0.0339750849377123,87
other_crop,1990s,0.30845712136407444,0.0055741360089186,311
other_crop,2000s,0.053835114952431845,-0.0024897204722924,869
other_crop,2010s,0.007959432586643327,-0.00424557900009475,846
other_model_organism,1960s,0.03907814315096935,0.0014745637748832,3
other_model_organism,1970s,0.0166386698538092,0.0166386698538092,2
other_model_organism,1990s,0.20061175592866817,-0.0020345995589806003,24
other_model_organism,2000s,0.000748558041222295,-0.00889246401197235,216
other_model_organism,2010s,-0.007667448633448219,-0.00846841115630045,154
potato,1960s,0.37423683560447185,0.2530575071558678,4
potato,1970s,0.3978118355776046,0.30245098039215684,4
potato,1980s,0.3305617828077584,-6.013319502698477e-05,9
potato,1990s,0.17209451684233368,-0.00175511785981575,40
potato,2000s,0.025212562458181362,-0.0093124804265843,114
potato,2010s,-0.00951849222769479,-0.0064427059364933,99
rice,1930s,7.167688062215533e-05,7.167688062215533e-05,1
rice,1950s,0.4906976744186047,0.4906976744186047,2
rice,1960s,0.6892554303691745,0.7154054476329358,4
rice,1970s,0.6002281849576744,0.7465753424657534,12
rice,1980s,0.31152782228393794,0.0140642686030454,34
rice,1990s,0.26328722418053824,0.0006808994768278,133
rice,2000s,0.028580985909531693,-0.00626245271472625,676
rice,2010s,-0.0009474643144887421,-0.0064479423478095,741
soybean,1940s,0.9314903846153846,1.0,4
soybean,1950s,1.0,1.0,1
soybean,1960s,0.6821101802113526,1.0,7
soybean,1970s,0.48939727489261203,0.40043027360988526,22
soybean,1980s,0.18555853893175017,0.0001452011035283,49
soybean,1990s,0.28343382090615804,-4.857552279406407e-05,83
soybean,2000s,0.01874139268531413,-0.0051473662110485,186
soybean,2010s,0.0004463231360897629,-0.006611363294891049,204
tobacco,1950s,0.4153336509881333,0.2008032128514056,3
tobacco,1960s,1.0,1.0,1
tobacco,1970s,0.4964914845406038,0.4964914845406038,2
tobacco,1980s,0.03993888151498122,-0.0012415163052474,25
tobacco,1990s,0.09133951586752596,-0.003046087300862,89
tobacco,2000s,-0.009047279027693724,-0.006201067504516799,208
tobacco,2010s,0.018587489858865432,-0.0045351473922902,79
tomato,1910s,0.624390243902439,0.624390243902439,1
tomato,1930s,0.47826086956521746,1.0,3
tomato,1950s,0.05979670771719047,0.0440251572327044,3
tomato,1960s,0.17446042837418085,0.17446042837418085,2
tomato,1970s,0.3011351167703956,0.0026080476900149,7
tomato,1980s,0.13563394639432305,0.00158648331393345,30
tomato,1990s,0.1398847315099971,-0.0016821933293148,134
tomato,2000s,0.006353899417898546,-0.0084775697633345,355
tomato,2010s,-0.003504090774868512,-0.0056170628459785,331
wheat,1900s,0.9444444444444445,1.0,3
wheat,1910s,1.0,1.0,1
wheat,1920s,0.45,0.45,1
wheat,1930s,0.1762870514820592,0.1762870514820592,1
wheat,1940s,0.5741733690795353,0.7225201072386059,3
wheat,1950s,0.18836401418679896,0.1916461916461916,3
wheat,1960s,0.5211756969345706,0.5393401015228426,4
wheat,1970s,0.3563306368204659,0.058646907216494806,30
wheat,1980s,0.32916548386824834,0.0436545801526717,78
wheat,1990s,0.2810192547677132,0.0007019303083479,203
wheat,2000s,0.03949124438099643,-0.00369231323309595,534
wheat,2010s,-0.0027072494819733966,-0.005538213674353,581
