paradigm,organism,median_citations,mean_citations,n_papers
applied translational agricultural research,arabidopsis,20.0,67.40842066780405,49236
applied translational agricultural research,barley,2.0,18.164113785557987,12339
applied translational agricultural research,cotton,1.0,11.423889293517844,17849
applied translational agricultural research,maize,2.0,15.667075220619134,57112
applied translational agricultural research,non_specific,0.0,10.725787303848561,1158225
applied translational agricultural research,other_crop,1.0,10.586112632326918,220949
applied translational agricultural research,other_model_organism,1.0,19.33444554877183,14086
applied translational agricultural research,potato,2.0,16.460763341589733,17764
applied translational agricultural research,rice,1.0,16.767866018666815,72428
applied translational agricultural research,soybean,1.0,14.652275417598316,30412
applied translational agricultural research,tobacco,1.0,21.687698664971393,12584
applied translational agricultural research,tomato,2.0,20.267025757098242,34903
applied translational agricultural research,wheat,2.0,16.887831733073806,68843
fundamental basic science research,arabidopsis,21.0,63.15887533875339,2952
fundamental basic science research,barley,3.0,18.818108974358974,3744
fundamental basic science research,cotton,1.0,9.251893571567294,5149
fundamental basic science research,maize,2.0,14.272057761732851,20775
fundamental basic science research,non_specific,1.0,11.71817802917535,251925
fundamental basic science research,other_crop,2.0,11.257055695684777,58676
fundamental basic science research,other_model_organism,2.0,16.62018779342723,4260
fundamental basic science research,potato,2.0,11.846341463414634,2870
fundamental basic science research,rice,1.0,11.324831120428605,17172
fundamental basic science research,soybean,2.0,13.12042039092427,10181
fundamental basic science research,tobacco,0.0,13.894717399335057,2707
fundamental basic science research,tomato,2.0,16.14205520037424,6413
fundamental basic science research,wheat,2.0,14.746878901373284,19224
