year,shannon_entropy,n_active_topics
1990,1.8854721744543537,24
1991,1.864249325350973,25
1992,1.8439155210678122,24
1993,1.8051356054745695,24
1994,1.715773527983497,26
1995,1.768314370970896,24
1996,1.8181044566761815,25
1997,1.500919323191231,22
1998,1.8735880352528365,24
1999,1.35798356596214,24
2000,1.304284480869295,25
2001,1.1352997138414456,25
2002,1.138622485579976,27
2003,1.1757558706828286,27
2004,1.3273564917403142,25
2005,1.122702590917602,26
2006,1.174632730937007,27
2007,1.173645011544036,28
2008,1.2552903971645115,26
2009,1.2596040853710333,27
2010,1.1177576815275363,26
2011,1.1578704809109015,28
2012,1.1287368186851408,28
2013,0.9834719459066587,28
2014,1.039688300772009,28
2015,1.0322275839237887,28
2016,1.1867811447229435,28
2017,0.8821474233544588,27
2018,1.210148372877613,26
2019,1.0364214889455872,26
2020,1.1991937973462543,28
2021,1.0626727641346545,26
2022,1.3721670536756196,26
2023,1.361045535977397,24
2024,0.7140328144631445,22
